"cname","ccodealp","region","bicc_gmi","bl_asyf","bl_asym","bl_asymf","bmr_dem","bmr_demdur","bti_aar","bti_acp","bti_aod","bti_cdi","bti_ci","bti_cps","bti_cr","bti_ds","bti_eo","bti_eos","bti_ep","bti_ffe","bti_foe","bti_ij","bti_mes","bti_muf","bti_pdi","bti_pp","bti_prp","bti_ps","bti_rol","bti_sdi","bti_seb","bti_sel","bti_sop","bti_ssn","bti_su","bti_wr","ccp_cc","ccp_childwrk","ccp_equal","ccp_freerel","ccp_slave","ccp_strike","cspf_sfi","dr_eg","dr_ig","dr_pg","dr_sg","ef_ef","egov_egov","epi_eh","epi_epi","fh_aor","fh_cl","fh_ep","fh_feb","fh_fog","fh_ipolity2","fh_pair","fh_pr","fh_rol","fh_status","fhn_fotnsc","fhn_fotnst","fhp_score5","fhp_status5","fi_ftradeint","fi_index","gcb_br","gcb_fcwell","gcb_orcag","gcb_pcbmost","gcb_pcjmost","gcb_pclgcmost","gcb_pclmost","gcb_pcori","gcb_pcpmost","gcb_pcpolmost","gcb_pcrmost","gcb_pctaxmost","gcb_pfcaag","gcb_sarcag","gcb_wsdag","gd_ptsa","gd_ptsh","gii_gii","gol_enep","gol_est","gol_est_spec","gol_pr","h_j","gpi_gpi","ht_colonial","ht_region","ibp_obi","ideavt_legvt","ideavt_presvt","ipu_l_sw","ipu_u_sw","jht_ccc","jht_ccd","lp_lat_abst","lp_legor","mad_gdppc","mad_gdppc1900","p_durable","p_polity2","pei_eir","pei_peii","pwt_hci","pwt_pop","ti_cpi","top_top10_income_share","top_top1_income_share","undp_hdi","van_index","vdem_corr","vdem_delibdem","vdem_egaldem","vdem_gender","vdem_libdem","vdem_mecorrpt","vdem_partipdem","vdem_polyarchy","voh_gti","wbgi_cce","wbgi_gee","wbgi_pve","wbgi_rle","wdi_acel","wdi_acelr","wdi_acelu","wdi_afp","wdi_agedr","wdi_ane","wdi_araland","wdi_area","wdi_armexp","wdi_armimp","wdi_birth","wdi_bribfirm","wdi_broadb","wdi_busden","wdi_co2","wdi_death","wdi_debt","wdi_eduprp","wdi_eduprs","wdi_elerenew","wdi_elprodcoal","wdi_elprodgas","wdi_elprodhyd","wdi_elprodnuc","wdi_elprodoil","wdi_emp","wdi_empagr","wdi_empagrf","wdi_empagrm","wdi_empind","wdi_empindf","wdi_empindm","wdi_empser","wdi_empserf","wdi_empserm","wdi_eneimp","wdi_eodb","wdi_expedu","wdi_expeduge","wdi_expedup","wdi_expedus","wdi_expedut","wdi_expmil","wdi_fdiin","wdi_fdiout","wdi_fertility","wdi_firftopm","wdi_firgifttax","wdi_forest","wdi_fossil","wdi_gdpagr","wdi_gdpcapcon2010","wdi_gdpind","wdi_gerp","wdi_gerpp","wdi_gers","wdi_gert","wdi_gini","wdi_homicides","wdi_idpdis","wdi_idpvc","wdi_idpvp","wdi_imig","wdi_infpay","wdi_internet","wdi_lfpf","wdi_lifexp","wdi_lifexpf","wdi_lifexpm","wdi_litrad","wdi_litradf","wdi_litradm","wdi_litry","wdi_migration","wdi_nerp","wdi_ners","wdi_pop","wdi_pop14","wdi_pop1564","wdi_pop65","wdi_popden","wdi_poprul","wdi_popurb","wdi_povgap190","wdi_refasy","wdi_refori","wdi_semp","wdi_smokf","wdi_smokm","wdi_spr","wdi_tacpsr","wdi_taxrev","wdi_tele","wdi_trade","wdi_unempfilo","wdi_unempilo","wdi_unempmilo","wdi_unempyfilo","wdi_unempyilo","wdi_unempymilo","wdi_wip","wef_ci","wef_elec","wef_gci","wef_mobile","wef_oc","wef_pr","wef_qoi","wef_wlf","who_halet","who_sanittot","whr_hap","yri_yri35"
"Afghanistan","AFG","Asia",155,3.1989999,6.4899998,4.8260002,0,219,5,3,NA,3,9,4.5,2,3.28333330154419,3,4,4,4,4,3,3.14285707473755,2,3,3.75,3.5,3,3,3,1,1,4,2,2.5,2.5,"Yes","Yes","Yes","Yes","Prohibited except in the case of war","No",20,32.638309,38.519566,45.606071,35.397686,0.664047062397003,0.32030001,20,25.5,4,6,3,6,3,3.5,2,5,2,"Not Free",NA,NA,60,"Partly Free",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0.65499997138977,NA,NA,NA,NA,0,3.56900000572205,0,8,50,45.2299995422363,19,27.8999996185303,26.5,52330,2189,0.366666704416275,2,1934.55505371094,NA,4,-1,2.6666665,NA,NA,NA,16,0.41460001,0.1525,0.50900000333786,11.2930002212524,0.907999992370606,0.296999990940094,0.172000005841255,0.556999981403351,0.193000003695488,2.68199992179871,0.164000004529953,0.34400001168251,9.60299968719482,-1.4876242,-1.453096,-2.7638643,-1.6640381,98.7156219482422,98.3096008300781,99.9021453857422,2.64459681510925,84.0776519775391,NA,11.7988538742065,652860,NA,3.49e+08,32.4869995117188,NA,0.0430405512452126,0.211648479104042,0.200151070952415,6.4229998588562,NA,5.95128011703491,4.45811986923218,86.0501098632812,NA,NA,NA,NA,NA,2.72000002861023,43.1300010681152,65.7699966430664,37.2599983215332,18.4599990844727,24.5100002288818,16.8899993896484,38.4099998474121,9.72000026702881,45.8499984741211,NA,173,4.0588698387146,15.661379814148,44.190601348877,22.2536907196045,15.9537897109985,1.00674629211426,0.650734901428223,0.211419597268105,4.47300004959106,NA,NA,1.85099411010742,NA,22.042896270752,564.617065429688,13.3872470855713,103.996162414551,NA,55.4252090454102,9.68642044067383,NA,6.6555609703064,435000,372000,2598000,1.17554688453674,NA,8.26000022888184,21.2470149993896,64.4860000610352,66.0260009765625,63.0470008850098,43.019718170166,29.8052101135254,55.4754486083984,65.4205474853516,-314602,NA,50.1407012939453,37171920,43.0901756286621,54.3248977661133,2.58492684364319,56.9370498657227,74.504997253418,25.4950008392334,NA,72228,2681267,82.3399963378906,NA,NA,2.5,2,9.89845085144043,0.343791753053665,NA,13.920000076294,11.0600004196167,10.289999961853,21.0499992370606,17.329999923706,16.1299991607666,27.8688526153564,NA,NA,NA,NA,NA,NA,NA,NA,53.9000015258789,NA,2.69430327415466,NA
"Albania","ALB","Europe",79,10.822,11.135,10.972,1,22,10,5,8,8,3,7.5,8,7.15000009536743,7,6,6,7,7,5,6.5357141494751,10,6,7.75,6.5,6,5.5,7,6,6,5,7,4.5,7,"No","Yes","Yes","Yes","Prohibited except in the case of war","Yes",1,68.70488,66.65049,63.279209,67.967392,2.0491886138916,0.73989999,44.5,49,9,3,8,13,7,8.083333,9,3,9,"Partly Free",NA,NA,51,"Partly Free",8.22189998626709,7.78000020980835,25,0.400000005960464,0.620000004768372,0.379999995231628,0.560000002384186,0.419999986886978,0.550000011920929,NA,0.360000014305115,0.360000014305115,0.270000010728836,0.430000007152557,0.569999992847443,0.469999998807907,0.519999980926514,2,NA,0.186000004410744,3.51184010505676,"Proportional",9,25,0,1.76400005817413,0,1,55,46.7599983215332,NA,27.8999996185303,NA,58316,1181,0.455555588006973,3,11104.166015625,1092,21,9,6.3281736,50.097183,2.9580684,2.88274002075195,36,0.3423,0.090800002,0.791999995708466,27.2975997924805,0.796000003814697,0.231000006198883,0.375999987125397,0.857999980449677,0.421000003814697,2.03200006484985,0.321999996900559,0.519999980926514,0.419999986886978,-0.47863212,0.05723986,0.37051564,-0.4033851,100,100,100,0.642824053764343,45.8100357055664,NA,22.311897277832,27400,NA,2e+06,11.7799997329712,36.0999984741211,12.5556592941284,1.52098679542542,1.93973159790039,7.89799976348877,80.7355728149414,7.74079990386963,8.79378032684326,100,0,0,100,NA,0,3.28999996185303,37.2900009155273,42.2799987792969,33.7200012207031,19.75,15.6599998474121,22.670000076294,42.9700012207031,42.060001373291,43.6199989318848,NA,82,3.61172008514404,12.3908004760742,57.6076698303223,21.5625,18.8500900268555,1.16126608848572,7.95128870010376,-0.0297968555241823,1.61699998378754,18.1000003814697,34.5999984741211,28.791971206665,NA,18.4409313201904,5074.857421875,21.2840309143066,106.993423461914,80.4987335205078,95.4323272705078,54.9613304138184,33.2000007629395,2.28949236869812,110,NA,NA,1.9890364408493,31.6000003814697,65.4000015258789,42.1906890869141,78.4580001831055,80.1669998168945,76.8160018920898,98.1411514282227,97.7611236572266,98.5136184692383,99.3300018310547,-69998,94.5296630859375,86.608268737793,2866376,17.6728744506836,68.582389831543,13.7447357177734,104.612266540527,39.6809997558594,60.3190002441406,0.200000002980232,132,13512,55.4799995422363,7.90000009536743,50.5,NA,NA,18.5574760437012,8.62481498718262,76.8558883666992,11.8699998855591,12.3000001907349,12.6199998855591,25.7399997711182,28.2099990844727,29.6200008392334,27.8571434020996,29.7581958770752,92.5279922485352,57.6141700744629,94.177001953125,3.78172039985657,3.30469012260437,35.4687538146973,0.797844409942627,69.0999984741211,47,5.00440263748169,26.869801
"Algeria","DZA","Africa",249,7.6199999,7.7589998,7.71,0,57,5,5,NA,2,6,7,5,4.69999980926514,5,6,6,5,5,4,5.35714292526245,8,3,4.25,5,4,4.25,2.5,5,5,4,6,5,5.5,"No","No","Yes","No","Not specified","Yes",11,38.300137,56.150364,79.876305,50.274662,2.30170178413391,0.51730001,50.400002,44.799999,4,5,3,7,3,4.25,7,6,6,"Not Free",NA,NA,65,"Not Free",2.55038189888,4.82999992370605,0.119999997317791,0.239999994635582,NA,0.370000004768372,0.280000001192093,0.389999985694885,0.389999985694885,0.509999990463257,0.310000002384186,0.25,0.170000001788139,0.400000005960464,0.5,NA,NA,4,2,0.43299999833107,NA,NA,NA,NA,0,2.24000000953674,6,3,2,37.0900001525879,39.8800010681152,25.7999992370606,7,99610,2756,0.311111092567444,2,14228.025390625,NA,14,2,3.9583333,44.132652,2.3430309,42.2284088134766,35,0.38080001,0.099100001,0.745999991893768,10.4123497009277,0.71399998664856,0.20100000500679,0.252999991178513,0.801999986171722,0.156000003218651,2.71600008010864,0.112999998033047,0.300999999046326,3.40899991989136,-0.65687001,-0.52737832,-0.83611959,-0.74096614,99.6419219970703,98.9619445800781,99.8981781005859,2.51799845695496,57.5080337524414,NA,3.15106344223023,2381741,0,1.284e+09,24.2819995880127,NA,7.26293563842773,0.353296607732773,3.59165740013123,4.71600008010864,NA,1.27619004249573,NA,0.322683811187744,0,98.3575134277344,0.210761934518814,NA,1.31980586051941,4.63000011444092,9.88000011444092,3.57999992370606,11.0500001907349,30.9099998474121,23.9300003051758,32.2099990844727,59.2200012207031,72.4899978637695,56.7299995422363,NA,157,NA,NA,NA,NA,NA,5.46782445907593,0.835789382457733,0.501815676689148,3.02300000190735,NA,NA,0.810331583023071,NA,11.8402328491211,4755.04638671875,39.1388740539551,109.882820129395,NA,NA,51.3656692504883,NA,1.36427640914917,19,2800,2500,0.6110720038414,NA,49.0384674072266,20.1269817352295,76.693000793457,77.9380035400391,75.4940032958984,81.4078369140625,75.3229675292969,87.4229583740234,97.4265213012695,-50002,97.6351699829102,NA,42228416,30.1486778259277,63.488826751709,6.3624963760376,17.7300624847412,27.371000289917,72.6289978027344,NA,94341,4186,31.9799995422363,1.39999997615814,36.2999992370605,NA,NA,NA,9.94808769226074,57.898624420166,20.4899997711182,11.8900003433228,9.72000026702881,45.5200004577637,29.579999923706,26.2600002288818,25.7575759887695,34.3817176818848,93.7816772460938,56.2538909912109,121.932479858398,4.77676677703857,4.07791328430176,43.3990859985352,0.211376622319221,66.4000015258789,18,5.04308605194092,NA
"Andorra","AND","Europe",NA,NA,NA,NA,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Not specified","No",NA,NA,50.38084,22.190226,89.238777,NA,0.68809998,NA,NA,11,1,12,14,12,10,15,1,15,"Free",NA,NA,15,"Free",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.53928399085998,"Mixed",12,9,NA,NA,0,5,NA,68.3300018310547,NA,32.0999984741211,NA,8049,84,0.469999998807907,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.866999983787537,12.9779996871948,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2390413,1.943918,1.4176272,1.6078409,100,100,100,NA,NA,NA,1.76595747470856,470,NA,NA,7.19999980926514,NA,46.3119773864746,NA,5.97340536117554,4.40000009536743,NA,2.28902006149292,3.05783009529114,86.11669921875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2467200756073,19.3230590820312,21.420389175415,25.3067798614502,5.64105987548828,NA,NA,NA,NA,NA,NA,34.042552947998,NA,NA,45132.54296875,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,59.7136497497559,NA,91.5674667358398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77008,NA,NA,NA,163.846801757812,11.9379997253418,88.0619964599609,NA,NA,15,NA,29.5,38.0999984741211,NA,NA,NA,51.1323776245117,NA,NA,NA,NA,NA,NA,NA,32.1428565979004,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,120.76
"Angola","AGO","Africa",186,NA,NA,NA,0,44,5,3,NA,3,4,5.5,4,4.65000009536743,4,4,4,4,6,4,3.67857146263123,8,3,4.25,3.5,5,3.75,3,2,2,3,3,3,3.5,"No","Yes","Yes","Yes","Other","Yes, but with limitations",16,42.085674,42.808849,51.437592,34.903286,0.924048662185669,0.3847,20.4,29.700001,6,5,3,7,2,3.25,3,6,4,"Not Free",64,"Partly Free",73,"Not Free",2.91996455192566,4.8600001335144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0.537000000476837,NA,NA,NA,NA,0,2.01900005340576,7,4,36,76.129997253418,NA,30.5,NA,17553,405,0.13666670024395,2,7771.44189453125,NA,21,-2,4.25,35.459183,1.4746345,30.8097877502441,19,0.5801,0.25979999,0.582000017166138,9.41380023956299,0.629000008106232,0.18299999833107,0.157000005245209,0.721000015735626,0.204999998211861,2.07100009918213,0.108999997377396,0.370000004768372,3.78399991989136,-1.139192,-1.0450019,-0.33569178,-1.0483428,45.2900009155273,7.33344841003418,65.2699966430664,0.92084938287735,96.1757431030273,NA,3.93037629127502,1246700,NA,2.72e+08,40.7290000915527,NA,0.355604529380798,NA,0.887380361557007,8.1899995803833,NA,14.1185598373413,21.4677906036377,53.1749267578125,0,0,53.1749267578125,NA,46.8250732421875,5.26000022888184,50.9099998474121,57.060001373291,44.75,6.98999977111816,0.939999997615814,13.039999961853,42.1100006103516,42,42.2099990844727,NA,177,NA,NA,NA,NA,NA,1.87177586555481,-6.36987733840942,0.0056378738954663,5.51900005340576,NA,NA,54.3174057006836,NA,8.607741355896,3233.90356445312,47.9315414428711,113.477958679199,39.6110191345215,50.6714782714844,9.33625984191894,51.2999992370605,NA,11000,NA,NA,0.427004665136337,NA,35,50.2029037475586,60.7820014953613,63.6660003662109,58.0639991760254,NA,NA,NA,NA,32066,NA,NA,30809788,46.8089256286621,50.9747009277344,2.2163736820221,24.7130718231201,34.4860000610352,65.5139999389648,22.7000007629394,39856,8243,78.379997253418,NA,NA,NA,NA,9.64477825164795,0.557803273200989,66.3781127929688,7.28000020980835,7,6.71999979019165,16,16.3600006103516,16.7600002288818,30.4545459747314,18.8197708129883,67.7169799804688,38.1124877929688,43.1305198669434,4.05684089660645,3.24653148651123,36.242431640625,0.399734020233154,54.7999992370605,NA,NA,NA
"Antigua and Barbuda","ATG","Americas",NA,NA,NA,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Universally prohibited","No",NA,61.246437,58.095699,33.397686,81.96299,4.26688432693481,0.60549998,55.5,48.5,9,2,12,15,8,8.5881329,13,2,14,"Free",NA,NA,34,"Partly Free",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02167010307312,"Majoritarian",1,1,NA,NA,5,10,NA,NA,NA,11.1000003814697,52.9000015258789,159,5,NA,NA,NA,NA,NA,NA,5.5,NA,NA,0.0962859988212585,NA,NA,NA,0.772000014781952,16.8083992004394,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27754217,-0.0082157077,0.84085685,0.41534093,99.9997253417969,99.9996337890625,100,NA,44.6783561706543,NA,9.09090900421143,440,NA,NA,15.3269996643066,NA,9.43139171600342,3.3056857585907,5.50466346740723,6.36600017547607,NA,48.7602500915527,17.9735202789307,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,NA,NA,8.41733837127686,-1.86342990398407,1.99399995803833,NA,NA,18.75,NA,1.73655247688294,15073.533203125,21.1147899627686,105.021270751953,70.2536010742188,111.19603729248,NA,NA,NA,1400,NA,NA,30.585506439209,NA,73,NA,76.8850021362305,77.9830017089844,75.7210006713867,98.9499969482422,99.4199981689453,98.4000015258789,NA,0,95.6954727172852,88.7898101806641,96282,22.081090927124,69.1190795898438,8.79982566833496,218.822723388672,75.4010009765625,24.5990009307861,NA,5,107,NA,NA,NA,NA,NA,NA,25.1503791809082,135.114013671875,NA,NA,NA,NA,NA,NA,11.1111106872559,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA
"Azerbaijan","AZE","Asia",250,NA,NA,NA,0,28,3,3,NA,2,4,7,3,3.43333339691162,6,6,6,2,2,3,5.25,5,2,2.25,4.5,2,3,2,5,5,2,5,4,5.5,"No","No","Yes","Yes","Prohibited with other exception(s)","Yes",10,72.038109,67.758461,73.028549,57.496925,1.97349667549133,0.70999998,32.700001,46.5,1,6,0,2,0,1.1666666,5,7,1,"Not Free",39,"Not Free",90,"Not Free",7.31510782241821,6.53000020980835,15,0.25,0.430000007152557,0.100000001490116,0.159999996423721,0.140000000596046,0.119999997317791,NA,0.0900000035762787,0.209999993443489,0.0799999982118607,0.180000007152557,0.330000013113022,0.379999995231628,0.379999995231628,3,3,0.321000009775162,NA,NA,NA,NA,0,2.40499997138977,0,1,35,46.8400001525879,74.2399978637695,16.7999992370606,NA,218700,2641,NA,NA,16628.0546875,NA,23,-7,2.5476191,35.912697,NA,9.94953727722168,25,0.39070001,0.14309999,0.754000008106232,9.83839988708496,0.939000010490418,0.0520000010728836,0.119999997317791,0.632000029087067,0.0590000003576279,0.856000006198883,0.0659999996423721,0.196999996900558,0.698000013828278,-0.8364836,-0.15805204,-0.70675981,-0.58753395,100,100,100,1.60966265201569,41.9743766784668,NA,25.3817119598389,82654,NA,3.65e+08,14,12.1000003814697,19.0050354003906,1.65802550315857,3.22140216827393,5.80000019073486,NA,0.701409995555878,12.8905696868897,7.03985738754272,0,86.0823059082031,6.63075160980225,NA,6.50923538208008,12.7299995422363,36.2599983215332,41.9799995422363,30.9099998474121,14.7200002670288,5.94999980926514,22.920000076294,49.0200004577637,52.0699996948242,46.1699981689453,NA,34,2.45543003082275,7.43546009063721,NA,NA,16.4021606445312,3.56240129470825,2.97794604301453,3.73756551742554,1.73000001907349,16.5,9.69999980926514,13.41392993927,NA,5.21238088607788,5801.43798828125,52.2509117126465,99.7220993041992,39.712329864502,94.4800796508789,27.7084999084473,NA,2.20110750198364,390,84000,644000,2.70906162261963,5.80000019073486,79.7999954223633,48.7601089477539,72.8639984130859,75.3359985351562,70.3450012207031,99.7912292480469,99.7219924926758,99.8637466430664,99.9380493164062,6002,92.4246673583984,88.5325622558594,9939771,23.3695697784424,70.4352493286133,6.19518280029297,120.257591247559,44.3199996948242,55.6800003051758,NA,1130,11246,68.1999969482422,0.200000002980232,39,NA,NA,12.9712715148926,16.8993492126465,91.6725769042969,5.76999998092651,4.90000009536743,4.07999992370605,15.289999961853,13.1499996185303,11.2399997711182,16.7999992370606,38.3313827514648,96.9773406982422,62.7178916931152,103.921417236328,5.77484035491943,5.08366394042969,65.8298187255859,0.700814068317413,63.5999984741211,22,5.16799545288086,10.6766
"Argentina","ARG","Americas",91,10.43,9.9840002,10.206,1,36,10,7,8,8,4,7,7,8.14999961853027,7,5,5,9,9,7,6.42857122421265,8,8,9,7.5,7,7.5,8,7,7,8,6,5.5,6.5,"No","No","Yes","Yes","Universally prohibited","Yes",3,50.290047,71.313385,90.969032,72.681084,3.30401515960693,0.82789999,60.200001,52.200001,11,2,11,15,8,8.916666,14,2,10,"Free",72,"Free",46,"Partly Free",7.47963571548462,5.88000011444092,0.129999995231628,0.479999989271164,0.709999978542328,0.377585649490356,0.386705189943314,0.363767981529236,0.459360301494598,0.409999996423721,0.402097344398498,0.45955091714859,0.181592434644699,0.284483641386032,0.649999976158142,0.509999990463257,0.600000023841858,1,2,0.328000009059906,NA,"Proportional",9,25,0,1.98699998855591,2,2,58,80.9400024414062,81.3099975585938,38.9000015258789,41.7000007629395,1625514,43245,0.377777814865112,2,18556.3828125,4583,35,9,7.9209657,60.204082,3.065968,44.3611488342285,40,0.40369999,0.1534,0.842000007629395,38.5133399963379,0.405000001192093,0.578000009059906,0.61599999666214,0.888999998569489,0.625,2.97499990463257,0.517000019550323,0.778999984264374,1.67999994754791,-0.068787277,0.027268179,0.010891375,-0.2436714,100,100,100,0.511880218982697,55.9544715881348,NA,14.3238725662231,2736690,NA,2.1e+07,17.0209999084473,9.30000019073486,19.1015224456787,0.198629930615425,3.98723411560059,7.60900020599365,NA,26.6536102294922,26.830400466919,28.1400699615479,2.02956748008728,49.4822616577148,26.2415752410889,NA,15.4231948852539,3.91000008583069,0.100000001490116,0.0599999986588955,0.119999997317791,21.9099998474121,9.14000034332275,31.3099994659424,77.9899978637695,90.8099975585938,68.5699996948242,NA,126,5.46223020553589,13.2639198303223,29.5945796966553,39.5393981933594,22.0803394317627,0.745498836040497,2.29371023178101,0.348169952630997,2.26099991798401,8,6,10.5203733444214,NA,5.29647207260132,10049.5556640625,23.0589294433594,109.74146270752,76.0847320556641,108.733596801758,89.9585189819336,41.2999992370605,5.32447862625122,16000,NA,NA,4.8052921295166,6.80000019073486,74.2949066162109,43.0018539428711,76.5199966430664,79.8629989624023,73.0820007324219,99.0038681030273,99.0620422363281,98.9377365112305,99.5055236816406,24000,99.1839981079102,90.7960510253906,44494504,24.7609329223633,64.1212768554688,11.1177892684937,16.2585105895996,8.13000011444092,91.870002746582,0.400000005960464,3442,112,25.5300006866455,15.3999996185303,28.2000007629394,NA,NA,10.1312465667725,22.0102806091309,31.1749420166016,10.539999961853,9.22000026702881,8.22999954223633,28.2299995422363,24.0100002288818,21.170000076294,38.9105072021484,41.7470703125,94.6940460205078,57.2013282775879,132.093154907227,4.05949974060059,3.75091409683227,47.7230758666992,0.73512202501297,67.0999984741211,51,5.79279661178589,16.296801
"Australia","AUS","Oceania",151,12.519,12.38,12.457,1,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Not specified","No",2,67.731041,81.509079,88.806412,88.218513,7.27264738082886,0.94319999,91.599998,74.900002,12,1,12,16,12,10,15,1,15,"Free",77,"Free",22,"Free",7.94069480895996,8.28999996185303,0.0299999993294477,0.449999988079071,0.910000026226044,0.200000002980232,0.0399999991059303,0.170000001788139,0.119999997317791,0.340000003576279,0.150000005960465,0.0500000007450581,0.170000001788139,0.0500000007450581,0.800000011920929,0.75,0.870000004768372,2,1,0.103000000119209,3.21496891975403,"Majoritarian",3,5,1,1.45299994945526,0,5,79,91.8899993896484,NA,28.7000007629394,40.7999992370605,28425,909,0.300000011920929,1,49830.80078125,6397,117,10,8.7591915,71.301025,3.5360475,24.8981513977051,77,0.33660001,0.1292,0.943000018596649,39.689338684082,0.0320000015199184,0.788999974727631,0.74099999666214,0.927999973297119,0.819999992847443,3.91300010681152,0.632000029087067,0.865000009536743,2.64499998092651,1.8052144,1.5952321,0.989604,1.7153821,100,100,100,0.438369601964951,53.4850883483887,2.15439414978027,4.02677059173584,7692020,3.8e+07,1556999936,12.6000003814697,NA,33.8471527099609,14.47216796875,15.4755163192749,6.30000019073486,0.0546484813094139,29.6970195770264,52.7589912414551,13.6378412246704,62.8716163635254,20.7954788208008,5.2961835861206,0,2.69506406784058,5.80999994277954,2.61999988555908,1.67999994754791,3.44000005722046,19.8899993896484,8.14999961853027,30.0900001525879,77.5,90.1800003051758,66.4800033569336,-190.190948486328,14,5.12424993515015,13.6134099960327,32.9910697937012,31.2762908935547,26.8246097564697,1.89062225818634,4.29391527175903,0.0696820989251137,1.74000000953674,NA,NA,17.421314239502,89.6256332397461,2.45834589004517,56832.05078125,24.1589660644531,100.160591125488,165.693603515625,132.772888183594,107.808052062988,NA,0.891632378101349,11000,NA,NA,28.2184104919434,NA,86.545051574707,46.5004005432129,82.748779296875,84.9000015258789,80.6999969482422,NA,NA,NA,NA,791229,96.3809585571289,92.284309387207,24982688,19.190616607666,65.1529083251953,15.6564750671387,3.24787092208862,13.9879999160767,86.0120010375977,NA,56934,10,16.4599990844727,13.6000003814697,18.7000007629394,NA,NA,23.1146945953369,32.9341697692871,43.2626495361328,5.32000017166138,5.30000019073486,5.28000020980835,10.7200002670288,11.8699998855591,12.960000038147,28.6666660308838,69.5283966064453,99.330192565918,78.7466278076172,113.578712463379,5.61259412765503,6.06743383407593,60.8448448181152,0.946110785007477,70.9000015258789,72,7.17699337005615,16.215599
